Year,Age,Count
2009,Under 18,620000
2009,18-24,520000
2009,25-34,1380000
2009,35-44,1300000
2009,45-54,510000
2009,55 and over,230000
2010,Under 18,580000
2010,18-24,470000
2010,25-34,1480000
2010,35-44,1310000
2010,45-54,590000
2010,55 and over,200000
2011,Under 18,650000
2011,18-24,610000
2011,25-34,1660000
2011,35-44,1470000
2011,45-54,710000
2011,55 and over,290000
2012,Under 18,530000
2012,18-24,540000
2012,25-34,1600000
2012,35-44,1570000
2012,45-54,750000
2012,55 and over,330000
2014,Under 18,530000
2014,18-24,500000
2014,25-34,1640000
2014,35-44,1710000
2014,45-54,900000
2014,55 and over,430000
2015,Under 18,540000
2015,18-24,490000
2015,25-34,1540000
2015,35-44,1640000
2015,45-54,850000
2015,55 and over,370000
2016,Under 18,500000
2016,18-24,480000
2016,25-34,1520000
2016,35-44,1730000
2016,45-54,930000
2016,55 and over,460000
2017,Under 18,530000
2017,18-24,430000
2017,25-34,1410000
2017,35-44,1710000
2017,45-54,970000
2017,55 and over,440000
2018,Under 18,530000
2018,18-24,450000
2018,25-34,1330000
2018,35-44,1740000
2018,45-54,1000000
2018,55 and over,510000
2019,Under 18,500000
2019,18-24,450000
2019,25-34,1200000
2019,35-44,1640000
2019,45-54,1040000
2019,55 and over,480000
2020,Under 18,470000
2020,18-24,380000
2020,25-34,1130000
2020,35-44,1560000
2020,45-54,1020000
2020,55 and over,450000
2022,Under 18,600000
2022,18-24,350000
2022,25-34,970000
2022,35-44,1520000
2022,45-54,1110000
2022,55 and over,470000